HIRESName,FILENAME,RV
HD33822,r20071124.121,-16286.794921875
HD72905,r20131019.184,-10597.12472322345
HD109409,r20060416.170,269.2242581110719
HD26965,r20101212.153,13.50094129392377
HD38858,r20071219.141,-15.180924615460391
HD34411,r20051122.290,-8.116233763541404
HD50692,r20081219.228,10.86318110271158
HD66428,r20080320.144,-83.89037644824596
HD62613,r20051122.346,-9.221551195297486
HD61994,r20131212.150,-6777.200419899815
HD75732,r20150626.72,-118.44220446360029
HD65583,r20051122.352,-13.804233667433438
HD92719,r20060412.164,25.810480504502173
HD104860,r20120401.124,45.044129022954046
HD110537,r20171226.141,60.16983370519199
HD106421,r20040823.125,-6.706065680848639
HD128642,r20100301.258,7788.849711719416
HD197076,r20090504.139,-11.38012922931046
HD157347,r20101002.71,-8.269278314718946
HD157338,r20140811.50,-235.4794873102671
HD163153,r20050625.173,-3.9933079704697967
HD159222,r20070604.196,16.86908623101404
HD164922,r20050228.149,-17.80268931434048
HD182572,r20140709.81,-9.5061937389422
HD187923,r20150810.68,-9.410929319339246
HD221354,r20110812.58,-9.519196447852847
HD164509,r20070806.131,29.611575295348548
HD168746,r20110622.122,35.203609636540435
HD167665,r20110526.150,-382.8387174970864
HD182488,r20180526.80,-21.34636726862652
HD8765,r20091201.179,711.5780008823763
HD105,r20060813.189,53.42718926855088
HD45410,r20140908.158,41.15466971510915
HD38529,r20071024.213,288.12252196742537
HD68017,r20180322.84,233.95770788202333
HD67767,r20171002.150,-18.18115929568893
HD56122,r20121009.168,43.427351710847425
HD61995,r20111209.203,28.255744697113442
HD62068,r20100403.72,116.9203212559371
HD74669,r20121002.136,-25.17165420246715
HD102365,r20070528.119,-6.4017665988266526
HD96700,r20171226.143,-7.114754089273447
HD89269,r20151126.72,-14.52603749338189
HD109358,r20100204.254,-10.80221688244025
HD127334,r20110709.103,-9.819357421856164
HD139323,r20170719.62,7.218047036566722
HD152391,r20170923.62,-23.282332716931283
HD170657,r20110619.118,-12.545258549056781
HD97658,r20101225.105,14.74817710853517
HD10476,r20171225.62,-8.822139167949047
HD189733,r20090808.184,-262.2887034673003
HD215032,r20050724.179,-32.63628857607631
HD12051,r20110219.91,-11.140638634418561
HD7924,r20120306.75,18.76781990848227
HD12846,r20120306.72,15.23636064969789
HD18803,r20050821.263,14.319785479686288
HD14412,r20150806.78,-11.535496335673061
HD40397,r20171108.113,-112.3857979131258
HD45184,r20090202.119,-12.61730260011518
HD42618,r20110821.144,-13.164615605862911
HD52265,r20060312.125,-48.89694251980887
HD73226,r20110412.86,-5.387456516462294
HD90156,r20051122.371,-9.749250941389828
HD13747,r20100305.127,43.03671468985959
HD20618,r20150830.124,40.36251923784022
HD24505,r20141210.70,-5128.298580213645
HD23439,r20121002.95,-11.637788774271678
HD14855,r20101021.206,7.780320147454282
HD16559,r20121009.105,23.6846516610003
HD20675,r20110822.117,-245.512372646811
HD31664,r20100928.143,-14.69042726139455
HD201219,r20131023.99,28.652837420520292
HD219623,r20160902.85,-16.28239371936025
HD213519,r20050820.194,26.112643595209278
HD136925,r20170806.56,21.67708890028763
HD127741,r20150630.62,-68.0585298072204
HD130048,r20100503.109,12.13618111105217
HD135872,r20140819.65,67.080427006015
HD249,r20110727.102,-28.08315062265343
HD5608,r20140813.134,-41.80483202530754
HD1770,r20120824.168,-27.066592428320817
HD4628,r20100731.225,-8.140059254909453
HD745,r20100701.131,-15.858897909335383
HD1449,r20110123.66,-26.16763376171775
HD19034,r20160124.107,-5.00868917720436
HD6512,r20110904.140,-34.288781611553176
HD5873,r20120827.127,-808.3884361782303
HD8250,r20101017.170,-40.44389865709722
HD29461,r20041129.171,1863.8922602953878
HD48345,r20120401.92,-21.35337965600479
HD45652,r20111008.128,36.01875729786082
HD220554,r20100728.133,-747.5361101160163
HD223498,r20160125.65,-6.94372592098496
HD211080,r20160718.128,-15.910157752384288
HD223315,r20160701.131,-13.77946890211456
HD216259,r20120903.100,24.45532761299918
HD216520,r20111116.23,10.971735303328789
HD80606,r20100501.65,366.15295845823
HD84453,r20100403.174,-13.51646098117919
HD87836,r20171212.109,-8.208493629128073
HD92266,r20130703.60,-12.574665409119971
HD94178,r20101228.121,-13.929093884711179
HD95900,r20100528.75,29.50565548708221
HD103047,r20130705.66,186.3342301206815
HD105811,r20130704.60,-1475.147905801404
HD106314,r20100626.63,-15.37232945031647
HD198802,r20050628.84,14.80057076853359
HD196676,r20140809.80,353.3790462831595
HD192699,r20110626.123,67.34828319598536
HD199255,r20100727.108,-8.561657144748576
HD199381,r20120621.129,-11.85029277366152
HD206993,r20131213.59,-68.15376226953754
HD221356,r20100626.150,-9.343421166167387
HD27530,r20051220.223,-6.054883746589915
HD31423,r20131117.186,2872.2805114384723
HD13871,r20120306.65,114.4338213625177
HD114174,r20050419.131,-358.7665823077555
HD71881,r20041024.249,82.50335259222936
HD214823,r20111109.116,-289.014649975512
HD217850,r20160725.125,-672.2574973924022
HD219428,r20070530.208,263.0068317202748
HD37394,r20100329.49,34.80681223413468
HD80355,r20111112.161,19.10434639233694
HD86081,r20060114.190,-214.32109276881198
HD34957,r20121007.139,-387.42037328346635
HD224983,r20180819.93,-15.71270882816933
HD3141,r20101021.122,5.194895156072995
HD4075,r20060716.245,-6.2996403677142325
HD4741,r20120904.120,4345.978723807045
HD10790,r20100804.118,-8799.902820198604
HD11373,r20120809.149,7.0535762648884335
HD17382,r20051219.85,-3881.070324292249
HD21742,r20120402.131,-5.406767750732908
HD101847,r20060210.238,43.92507360911286
HD102195,r20150726.74,-74.71081541738351
HD2589,r20170730.109,-6.677863694456158
HD4747,r20180819.99,-232.45012170118457
HD221851,r20170121.65,-12.3720783250278
HD221822,r20060115.112,-4.271385572934399
HD11131,r20100803.111,-2287.510438634044
HD43162,r20121204.58,39.034533636457
HD140913,r20060312.176,-853.9571219948049
HD141272,r20170730.69,67.34533128141163
HD8553,r20070831.192,-15.833318711666212
HD19019,r20100901.142,25.725297765754533
HD19668,r20081207.143,54.40683747806115
HD25457,r20120828.109,54.13720116707146
HD28237,r20080910.238,48.913633514217175
HD143006,r20080720.140,227.71849377866081
HD152555,r20110615.80,-63.46665541743933
HD145229,r20090603.84,-20.80411335468603
HD149724,r20180729.73,9.549108503208801
HD153458,r20160708.67,-17.81430971818486
HD139813,r20090601.238,-66.56247878702611
HD150706,r20120407.217,-24.555291063397284
HD161897,r20110615.67,-6.7241027578197645
HD138004,r20090702.122,8164.744805840551
HD134319,r20100204.247,-117.70512300285591
HD76218,r20041230.203,-28.69346207598616
HD92855,r20050225.199,-6595.233313112953
HD107146,r20120624.87,37.03461814031363
HD187897,r20120410.197,26.315212642235107
HD195034,r20040823.178,8.148859316926007
HD203030,r20120621.109,51.711819058114315
HD206374,r20050820.184,30.592712370421648
HD209393,r20130715.115,-31.46344021561593
HD199019,r20040823.181,-64.51059483149875
HD216275,r20130809.121,-9.900689182731867
HD219498,r20180801.90,-68.378821112342
HD183216,r20090702.185,-18.31422779009409
HD199260,r20130825.104,-50.892327059981454
HD209253,r20060906.169,62.49646394656106
HD202917,r20050629.115,-283.7229357336303
HD201989,r20090606.191,21.72103284091034
HD205905,r20040823.201,-20.60462189020087
HD98553,r20120623.81,-10.07595373658672
HD104800,r20120526.110,-5.3099806675014225
HD101959,r20160617.66,14.77839537467661
HD102071,r20041230.256,-1474.018544820023
HD8907,r20080810.180,-50.962202983164346
HD6963,r20110615.88,-32.37868648560053
HD8467,r20080810.179,-14.90986595622691
HD691,r20060714.31,-19.75153389687836
HD9472,r20120709.170,15.785135638332038
HD11850,r20081207.87,45.64513278404155
HD377,r20050130.115,-94.74597548166288
HD6558,r20180807.96,190.7998140030999
HD204277,r20091231.66,34.578688823853305
HD137368,r20120707.69,566.0207008837591
HD142091,r20110313.183,-38.181997383108104
HD143174,r20050725.130,-25.19258105889205
HD145675,r20090406.90,112.0394484207113
HD8375,r20150802.133,5338.81445942251
HD210702,r20161223.62,51.378164927625754
HD210373,r20120105.66,23.014196301671873
HD216722,r20100630.138,-12.77451785527045
HD218935,r20120105.62,952.729395302782
HD222089,r20101021.109,20.0794139639032
HD223869,r20140910.150,-50.00415295784622
HD222697,r20070824.265,16.13852575152811
