FILENAME,BJD_TDB,RV,RV_ERR,BC,ADU,CHI2
"r20050228.137",13430.15014800010,-4.514907948098767,1.08490,16083.72460937500,94757,1.09604
"r20050228.138",13430.15199999977,-6.238441808714875,1.05307,16079.99511718750,93160,1.10598
"r20050228.139",13430.15381699987,-8.130729383553785,1.07016,16076.31445312500,94018,1.11992
"r20050625.147",13546.80825399980,-2.698422512325574,0.902591,-3707.479003906250,93247,1.05769
"r20050625.148",13546.80941199977,0.1279171162984706,0.933468,-3709.940917968750,93660,1.06044
"r20050625.149",13546.81055699987,-3.052216470744717,0.959496,-3712.389892578125,94069,1.06346
"r20050626.195",13547.95153700002,-1.881103889677525,0.961240,-4319.062988281250,92378,1.07467
"r20050626.196",13547.95274099987,-2.372397922564854,0.906139,-4321.984863281250,93178,1.08344
"r20050626.197",13547.95387500012,0.7665253279512421,0.897075,-4324.732910156250,92560,1.07320
"r20050627.104",13548.94895299990,3.415127896574843,0.944505,-4574.967773437500,93770,1.04492
"r20050627.105",13548.95006400021,3.681629152230030,0.922780,-4577.664062500000,94118,1.03934
"r20050627.106",13548.95121000009,1.981288409486119,0.902056,-4580.437988281250,93414,1.04259
"r20050628.34",13549.84999299981,6.021447512161643,0.950696,-4588.970214843750,96374,1.11226
"r20050628.35",13549.85112700006,6.006816465080296,0.984441,-4591.733886718750,95222,1.09679
"r20050628.36",13549.85223799990,8.705686064300307,0.951352,-4594.446777343750,96344,1.10391
"r20050629.36",13550.86793900002,5.728102724534793,0.911853,-4893.752929687500,94430,1.11631
"r20050629.37",13550.86901600007,4.976455402682916,0.956111,-4896.446777343750,94846,1.12411
"r20050629.38",13550.87010399997,1.660673255838800,0.840453,-4899.172851562500,94508,1.13929
"r20050630.38",13551.86678799987,3.246520424218503,1.00141,-5150.224121093750,97050,1.13064
"r20050630.39",13551.86787599977,1.300215652264705,0.994547,-5152.950195312500,94095,1.13927
"r20050630.40",13551.86896400014,-0.4209104045300918,0.995585,-5155.679199218750,95162,1.14005
"r20050719.150",13570.86896400014,2.444781001416068,0.919528,-9715.852539062500,96256,1.14483
"r20050719.151",13570.87017899984,2.951143053640481,0.982219,-9718.831054687500,95746,1.08948
"r20050719.152",13570.87139400002,1.630539954159529,0.957220,-9721.803710937500,97794,1.14023
"r20050820.122",13602.74902299978,-5.872929015886999,1.14020,-14748.43457031250,99336,1.23623
"r20050820.123",13602.75013400009,-7.796068199513478,1.11566,-14751.08007812500,98388,1.22223
"r20050820.124",13602.75124600017,-5.634695636201528,1.09762,-14753.72460937500,98447,1.24241
"r20060709.249",13925.99225000013,-6.219487627899610,0.927696,-7630.400878906250,89728,1.08967
"r20060709.250",13925.99346499983,-3.492847825742683,0.948007,-7632.640136718750,90756,1.09192
"r20060709.251",13925.99468000000,-6.847658405253474,0.929224,-7634.863769531250,91385,1.08015
"r20060710.151",13926.87875499995,-8.440951626006054,0.977990,-7613.132812500000,91666,1.10023
"r20060710.152",13926.87995899981,-5.789884447086037,0.984131,-7616.146972656250,89950,1.10403
"r20060710.153",13926.88116300013,-6.416591302311348,0.965576,-7619.158203125000,89764,1.10969
"r20060711.179",13927.89072000002,-9.697402729132660,1.00386,-7880.827148437500,93530,1.14796
"r20060711.180",13927.89182000002,-9.813770599791294,1.06289,-7883.545898437500,91190,1.13059
"r20060711.181",13927.89295399981,-4.636713984971991,1.03236,-7886.348144531250,91450,1.12876
"r20060715.168",13931.91812000005,-7.785857915965213,1.00568,-8877.177734375000,88826,1.08001
"r20060715.169",13931.91934699984,-7.564104661986907,0.942612,-8879.999023437500,90303,1.08346
"r20060715.170",13931.92063200008,-7.170488981581945,1.02554,-8882.944335937500,90916,1.07478
"r20060813.140",13960.88030199986,-8.268482908986144,1.33355,-14159.77148437500,28189,1.07048
"r20060813.141",13960.88119299989,-8.913986042467698,1.04296,-14161.45117187500,89432,1.14481
"r20060813.142",13960.88226999994,-9.670794162051862,1.01200,-14163.47070312500,90625,1.14340
"r20070527.173",14248.03734500008,8.053185960755577,1.18525,3718.589111328125,70033,1.08862
"r20070528.172",14249.00312000001,5.194821599124086,1.25051,3536.455078125000,69429,1.08295
"r20070529.159",14249.95941600017,2.666539338346235,1.35842,3379.420898437500,69647,1.09461
"r20070531.191",14252.04919400020,3.376203422611197,1.18133,2619.590087890625,52331,1.09296
"r20070531.192",14252.05009699985,5.514823629242904,1.25804,2617.516113281250,53019,1.09830
"r20070604.195",14255.94017300010,16.27485781737803,1.25891,1808.586059570312,53576,1.09688
"r20070604.196",14255.94102900010,16.86908623101404,1.22877,1806.427001953125,52021,1.12924
"r20070626.247",14277.86829299992,12.38604525953080,1.05585,-3979.990966796875,69103,1.06403
"r20070627.157",14278.92231799988,3.753096618255441,1.07296,-4378.356933593750,70137,1.03811
"r20070704.142",14285.91446499992,8.719404678717337,1.07217,-6154.373046875000,70543,1.04415
"r20070713.159",14294.89898299985,10.07917574114518,1.12870,-8314.313476562500,68713,1.10494
"r20080514.179",14601.09146500006,-7.156338347531623,1.16163,6770.374023437500,71219,1.20111
"r20080616.120",14633.97102000006,9.452560188918968,1.32996,-1752.181030273438,44936,1.17017
"r20080617.117",14634.91101399995,-0.8538100347187572,1.26054,-1870.921020507812,44646,1.11486
"r20080618.137",14635.96093699988,1.746283982585169,1.20786,-2266.750000000000,43617,1.06721
"r20080619.121",14636.93772399984,-2.136372291546791,1.17190,-2477.354980468750,45885,1.07509
"r20080620.140",14637.93785399990,-2.036121821637412,1.05333,-2745.905029296875,44910,1.10033
"r20080621.90",14638.81968599977,0.2292377352026624,1.18821,-2726.405029296875,44348,1.04966
"r20080622.147",14639.99466199987,-1.468190867243556,1.10861,-3416.602050781250,46017,1.06866
"r20080623.130",14641.08651300007,1.387658117532243,1.27657,-3846.419921875000,43694,1.05018
"r20080624.116",14641.95087799989,-0.6491795888412810,1.19217,-3843.480957031250,44950,1.04349
"r20080626.125",14644.08380099991,3.014585215295078,1.32580,-4625.224121093750,44019,1.04073
"r20080720.146",14667.90955899982,3.762317145290542,1.07979,-10066.37402343750,69871,1.08779
"r20080725.140",14672.89413100015,-8.155595184867614,1.05508,-11066.31835937500,69699,1.12681
"r20080810.112",14688.88578800019,0.8956977472963885,1.22301,-13821.25878906250,42684,1.08006
"r20080811.119",14689.94446599996,-3.291265849139840,1.36307,-14054.53222656250,44867,1.07921
"r20080914.73",14723.75374299986,3.100077230532804,1.24591,-16053.54492187500,45643,1.07943
"r20090405.141",14927.05189900007,-1.616578323570153,1.37428,14611.37304687500,43174,1.10124
"r20090407.162",14929.14621199993,-8.692041186572368,1.24869,14122.52148437500,43814,1.14772
"r20090408.129",14929.97530200006,-4.074734375036201,1.40725,14354.16406250000,40011,1.08836
