SPOCSID HIRESID
HD211080 HD211080
HD22072 HD22072
HD47562 HD47562
HD14651 HD14651
HD147750 HD147750
HD179949 HD179949
HTR139-004 HTR139-004
HD185144 HD185144
HD194110 HD194110
HD213519 HD213519
HD216520 HD216520
HD10261 HIP7830
HD141004 HD141004
HD216834 HD216834
HD17620 HD17620
HD120528 HD120528
HD204277 HD204277
HD18645 HD18645
HD178251 HD178251
HD101501 HD101501
HTR176-001 HTR176-001
HTR093-012 HTR093-012
HD199580 HD199580
HD222038 HD222038
HD180684 HD180684
HD75407 HD75407
HD18916 HD18916
HD8553 HD8553
HD144287 HD144287
HD199381 HD199381
HD24505 HD24505
HD165341A HD165341A
HD34745 HD34745
HD13579 HD13579
HD108863 HD108863
HD3458 HD3458
HD249 HD249
HTR433-003 HTR433-003
HD136274 HD136274
HD128720 HD128720
HD90711 HD90711
HD117207 HD117207
HD109718 HD109718
HTR241-006 HTR241-006
HD159062 HD159062
HTR176-002 HTR176-002
HD12235 HD12235
HD103459 HD103459
HD16175 HD16175
HD196645 HD196645
HD4208 HD4208
HD745 HD745
HD9313 HD9313
HD141399 HD141399
HD56303 HD56303
HD244992 HD244992
HD38529 HD38529
HD197162 HD197162
HD47157 HD47157
HD152125 HD152125
HTR154-011 HTR154-011
HD55575 HD55575
HD109159 HD109159
HD190404 HD190404
HD114783 HD114783
HD198802 HD198802
HD134987 HD134987
HD96529 HD96529
HD73226 HD73226
HD171264 HD171264
HD96683 HD96683
HD63754 HD63754
HD160215 HD160215
HD103828 HD103828
HD126990 HD126990
HD182189 HD182189
HD143174 HD143174
HD175742 HD175742
HD39731 HD39731
HD225021 HD225021
HTR241-007 HTR241-007
HD96612 HD96612
WASP-2 WASP-2
HD154325 HD154325
HD6715 HD6715
HD64324 HD64324
HD55696 HD55696
HD210373 HD210373
HIP35093 HIP35093
HD98553 HD98553
HTR056-003 HTR056-003
HD7661 HIP5938
2MASSJ16494226-1932340 EPIC205071984
HD180902 HD180902
HD145958A HD145958A
HD221356 HD221356
HD18436B HD18436B
HD105811 HD105811
HD143761 HD143761
HD40647 HD40647
HIP51260 BD+262091
HD37445 HD37445
TYC3793-1994-1 XO-4
HD96167 HD96167
HD12039 HD12039
HD142267 HD142267
HIP96561 HIP96561
HD263175 HD263175
HD45652 HD45652
HTR062-011 HTR062-011
HD42250 HD42250
HD86728 HD86728
HD45350 HD45350
HTR239-008 HTR239-008
HD203473 HD203473
HD223627 HD223627
HD167665 HD167665
HD28185 HD28185
HD190228 HD190228
HD149143 HD149143
HD95089 HD95089
HD39094 HD39094
HD18632 HD18632
HD16702 HD16702
HTR378-001 HTR378-001
HD10145 HD10145
HD85301 HD85301
HD197076 HD197076
HD60234 HD60234
HD126583 HD126583
HD199260 HD199260
HD215049 HD215049
HD124292 HD124292
HD221504 HD221504
HD222474 HIP116838
HD112415 HD112415
HD69076 HD69076
HTR196-004 HTR196-004
HD37008 HD37008
HD13747 HD13747
HD125612 HD125612
HD27496 HD27496
HD11850 HD11850
HD9472 HD9472
HD53927 HD53927
HD94178 HD94178
HD9554 HD9554
HD26634 HD26634
HD140025 HD140025
HD101847 HD101847
HD39828 HD39828
HD190067 HD190067
HD179306 HD179306
HD187897 HD187897
HIP54498 HIP54498
HD20155 HD20155
HD7931 HD7931
HD31966 HD31966
HD182619 HD182619
HD51219 HD51219
HD210702 HD210702
HD115617 HD115617
HD7510 HD7510
HD65430 HD65430
HTR136-001 HTR136-001
HD23439 HD23439
HD157347 HD157347
HD11373 HD11373
HD192153 HD192153
HD67767 HD67767
HD221851 HD221851
HD56083 HD56083
HD129191 HD129191
HD206374 HD206374
HD118744 HD118744
HD166620 HD166620
HD115404A HD115404A
HD238433 HD238433
HD33283 HD33283
HD19668 HD19668
HD109929 HD109929
HD217496 HD217496
HD114161 HD114161
HD5873 HD5873
HD219553 HD219553
HD200081 HD200081
HD210144 HD210144
HD38801 HD38801
HD10015 HD10015
HD29528 HD29528
HD105 HD105
HIP38340 HIP38340
HD12137 HD12137
HD104389 HD104389
HD149806 HD149806
HD106421 HD106421
HD24496 HD24496
HTR405-001 HTR405-001
HD218935 HD218935
HD16559 HD16559
HD179079 HD179079
HD16760 HD16760
HD15335 HD15335
HD10479 HD10479
HD117762 HD117762
HD220122 HD220122
HD175425 HD175425
HD148284 HD148284
HD103616 HD103616
HD207077 HD207077
HTR183-005 HTR183-005
HD5319 HD5319
HD31664 HD31664
HD71881 HD71881
HD224679 HD224679
HD31543 HD31543
HD97343 HD97343
HD18742 HD18742
HD85689 HD85689
HD80606 HD80606
HTR317-002 HTR317-002
HD124106 HD124106
HD8038 HD8038
HD13043 HD13043
HD191785 HD191785
HD52265 HD52265
HD112973 HD112973
HD101675 HD101675
HD6030 HD6030
HTR145-001 HTR145-001
HD95622 HD95622
HTR188-002 HTR188-002
HD157214 HD157214
HD6963 HD6963
HD117176 HD117176
HD118082 HD118082
HD127334 HD127334
HD134353 HD134353
HD57813 HD57813
HD41700 HD41700
HD7530 HD7530
HD199255 HD199255
HD26161 HD26161
HD24040 HD24040
HD219834B HD219834B
HD211681 HD211681
HD165401 HD165401
HD126614 HD126614
HD84117 HD84117
TYC3727-1064-1 XO-3
HD9446 HD9446
HD139907 HD139907
HD206610 HD206610
HD48345 HD48345
HD133125 HD133125
HD21313 HD21313
HD30128 HD30128
HD19467 HD19467
HIP6276 HIP6276
HTR114-009 HTR114-009
HD77172 HD77172
HD29461 HD29461
HD13167 HD13167
HD102071 HD102071
HD213278 HD213278
HD105279 HD105279
HD209599 HD209599
HD161479 HD161479
HD201651 HD201651
HD9407 HD9407
HD68988 HD68988
HD12051 HD12051
HIP80096 HIP80096
HD110044 HD110044
HD4915 HD4915
HD96063 HD96063
HD199019 HD199019
HD141937 HD141937
HD195034 HD195034
HD166494 HD166494
HTR294-009 HTR294-009
HD166 HD166
HD125390 HD125390
HD221822 HD221822
HD128095 HD128095
HD122253 HD122253
HD140913 HD140913
HD24213 HD24213
Kepler-62 KOI-701
HD58727 HD58727
HD40537 HD40537
HD95188 HD95188
HTR170-004 HTR170-004
HD206993 HD206993
HD93396 HD93396
HD34445 HD34445
HD11970 HD11970
HD9562 HD9562
HD208038 HD208038
HD76909 HD76909
HD61995 HD61995
HIP94931 HIP94931
HD215274 HD215274
HD11964A HD11964A
EPIC202089657 EPIC202089657
HIP14810 HIP14810
HD14655 HD14655
HD43947 HD43947
HD50554 HD50554
HD95128 HD95128
HD135599 HD135599
HD74390 HD74390
HD10700 HD10700
HD107211 HD107211
HD163153 HD163153
HD111395 HD111395
HD44985 HD44985
HD202867 HD202867
HTR159-019 HTR159-019
HD56122 HD56122
HD144585 HD144585
HD222089 HD222089
HD209458 HD209458
HD23134 HD23134
HD20675 HD20675
HD8907 HD8907
HD32850 HD32850
HD85440 HD85440
HD8389A HD8389
HD161284 HD161284
HD40397 HD40397
HD210302 HD210302
HTR268-001 HTR268-001
HD36130 HD36130
