SPOCS HIRES
HTR364-003 HTR364-003
HTR388-005 HTR388-005
HTR089-011 HTR089-011
HTR087-015 HTR087-015
HTR211-001 HTR211-001
HTR365-001 HTR365-001
KOI-87 CK00087
KOI-365 CK00365
KOI-5 CK00005
HTR213-008 HTR213-008
HTR211-003 HTR211-003
KOI-244 CK00244
HTR433-003 HTR433-003
HTR317-002 HTR317-002
KOI-364 CK00364
HD176693 CK01612
KOI-85 CK00085
Kepler-95 CK00122
Kepler-407 CK01442
KOI-41 CK00041
KIC-2852862 KIC2852862
KIC-3427720 KIC3427720
KIC-3656476 KIC3656476
KIC-3852594 KIC3852594
KIC-5431016 KIC5431016
KIC-5689820 KIC5689820
KIC-5723165 KIC5723165
KIC-5773345 KIC5773345
KIC-5955122 KIC5955122
KIC-6064910 KIC6064910
KIC-6313425 KIC6313425
KIC-6603624 KIC6603624
KIC-6766513 KIC6766513
KIC-7174707 KIC7174707
KIC-7747078 KIC7747078
KIC-7871531 KIC7871531
KIC-7976303 KIC7976303
KIC-8018599 KIC8018599
KIC-8150065 KIC8150065
KIC-8228742 KIC8228742
KIC-8702606 KIC8702606
KIC-9139151 KIC9139151
KIC-9206432 KIC9206432
KIC-9410862 KIC9410862
KIC-9965715 KIC9965715
KIC-10355856 KIC10355856
KIC-10516096 KIC10516096
KIC-10730618 KIC10730618
KIC-10972873 KIC10972873
KIC-11026764 KIC11026764
KIC-11395018 KIC11395018
KIC-11717120 KIC11717120
KIC-11771760 KIC11771760
KIC-12009504 KIC12009504
KIC-12069127 KIC12069127
KIC-12258514 KIC12258514
MARVELS-1b MARVELS-1
KOI-265 CK00265
KOI-273 CK00273
HTR125-017 HTR125-017
HTR405-001 HTR405-001
HTR169-010 HTR169-010
NameWASP-8A WASP8
WASP-12 WASP12
CD-239677 WASP34
HD70843 HD70843
HD120064 HD120064
KIC-6779260 KIC6779260
TYC3413-5-1 XO-2
WASP-31 WASP31
KIC-8552719 KIC8552719
HD185374 CK01924
BD+462726 CK01925
KOI-2720 CK02720
KOI-2687 CK02687
KIC-7940546 KIC7940546
HIP51260 BD+262091
NameTrES-3b TRES3
NameTrES-4b TRES-4
Kepler-411 KEPLER-411
KOI-245 CK00245
KOI-2169 CK02169
Kepler-406 CK00321
Kepler-62 CK00701
BD+312447 BD+312447
2MASSJ23341508-4203411 WASP4
TYC7283-1162-1 WASP15
KIC-8435766 KIC8435766
HD136202 HD136202
HD146389 WASP38
TYC339-329-1 WASP24
HTR114-006 HTR114-006
HD215549 HD215549
HD6582 HD6582
HD20367 HD20367
HD23596 HD23596
HD25975 HD25975
HD69897 HD69897
HD39587 HD39587
HD45506 HD45506
HD49933 HD49933
HD34538 HD34538
HD21019 HD21019
HD22682 HD22682
HD19994 HD19994
HD82443 HD82443
HD46588 HD46588
HD122386 HD122386
HD185351 HD185351
HD210027 HD210027
HD30652 HD30652
HD16895 HD16895
HD37601 HD37601
HD78558 HD78558
HD82074 HD82074
HD97334 HD97334
HD78366 HD78366
HD82328 HD82328
HD258452 HIP31014
HD255639 HIP30220
HD42807 HD42807
HD25893 HD25893
HD126868 HD126868
HD130948 HD130948
HD132254 HD132254
HD82885 HD82885
HD25680 HD25680
HD72760 HD72760
HD173667 HD173667
HD162004 HD162004
HD168151 HD168151
HD10307 HD10307
HTR333-003 HTR333-003
HTR285-001 HTR285-001
HTR431-010 HTR431-010
HTR114-009 HTR114-009
HD162003 HD162003
HD187013 HD187013
HD202568 HD202568
HD90508 HD90508
KOI-157 K00157
HD112758 HD112758
HD110833 HD110833
HD131582 HD131582
HD131511 HD131511
HD122742 HD122742
KOI-262 CK00262
KOI-260 CK00260
KIC-7842033 KIC7842033
HTR062-011 HTR062-011
KOI-277 CK00277
HD161198 HD161198
HTR093-012 HTR093-012
HTR170-004 HTR170-004
EPIC202089657 EPIC202089657
TYC211-706-1 WASP84
TYC6784-837-1 EPIC203771098
KIC-8410697 KIC8410697
EPIC201505350 EPIC201505350
2MASSJ16494226-1932340 EPIC205071984
K2-37 EPIC203826436
Kepler-10 CK00072
CD-2312854 EPIC204129699
WASP-234318 WASP234318
KOI-316 CK00316
BD+374784 BD+374784
BD+374783 BD+374783
V*V966Tau HII296
V*V1168Tau HII263
HTR176-002 HTR176-002
HTR188-002 HTR188-002
HTR152-001 HTR152-001
HTR182-001 HTR182-001
HTR145-001 HTR145-001
HTR191-001 HTR191-001
Kepler-1b TRES2
HD105546 HD105546
HD3861 HD3861
TYC2265-107-1 WASP-1
HD206332 HD206332*
HD27859 HD27859
TYC2636-195-1 WASP-3
HTR196-004 HTR196-004
HTR341-004 HTR341-004
WASP-2 WASP-2
HD216493 HIP113026
HTR189-001 HTR189-001
HTR213-002 HTR213-002
HTR239-008 HTR239-008
HD179498 HD0732-0862104
HD180512 HD0737-0797111
HTR173-008 HTR173-008
HTR176-001 HTR176-001
HTR315-006 HTR315-006
HTR180-001 HTR180-001
HTR183-008 HTR183-008
HTR183-005 HTR183-005
HTR159-015 HTR159-015
HTR315-005 HTR315-005
KOI-6 K00006
KOI-7 CK00007
KOI-63 CK00063
KOI-69 CK00069
KOI-84 CK00084
KOI-103 CK00103
Kepler-109 CK00123
Kepler-20 CK00070
Kepler-103 KEPLER103
Kepler-18 CK00137
KOI-180 CK00180
HTR163-001 HTR163-001
HTR123-008 HTR123-008
HTR056-003 HTR056-003
HTR164-005 HTR164-005
HTR258-002 HTR258-002
HTR171-008 HTR171-008
HTR378-001 HTR378-001
HTR159-019 HTR159-019
HTR160-016 HTR160-016
HTR161-014 HTR161-014
HTR263-005 HTR263-005
HTR376-001 HTR376-001
HTR311-004 HTR311-004
HTR267-004 HTR267-004
HTR268-001 HTR268-001
HTR124-004 HTR124-004
HTR239-004 HTR239-004
HTR194-006 HTR194-006
HTR241-007 HTR241-007
TYC2634-1087-1 HAT5
CoRoT-2 COROT2
TYC3793-1994-1 XO-4
HD175289 KIC8866102
KOI-20 K00020
HTR240-003 HTR240-003
HTR294-003 HTR294-003
Kepler-113 CK00153
KOI-261 CK00261
Kepler-97 CK00292
Kepler-68A KEPLER68
Kepler-104 CK00111
KOI-82 CK00082
KOI-328 K00328
Kepler-99 CK00305
Kepler-94 CK00104
Kepler-106 KEPLER106
KOI-283 CK00283
KOI-263 CK00263
KOI-274 CK00274
Kepler-98 CK00299
Kepler-21A CK00975
Kepler-48 CK00148
