,Unnamed: 0,SIMNAME,TEFF,LOGG,VSINI,CH,NH,OH,NaH,MgH,AlH,SiH,CaH,TiH,VH,CrH,MnH,FeH,NiH,YH,DIR,,,,,,,,,,,,,,,,,,
222,222,HD 211080,5659.9917,3.9508045,2.189198482,0.20460367,0.33809537,0.2794065,0.36701238,0.21656716,0.26983374,0.23051304,0.2551715,0.22801685,0.17766877,0.26674053,0.36848295,0.27796632,0.31266293,0.27962437,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/211080_rj134.399.ech,,,,,,,,,,,,,,,,,,
526,526,HD 22072,4941.3403,3.4598992,0.100000001,-0.2483002,-0.20750502,-0.009722261,-0.2819967,-0.1598248,-0.11043989,-0.27960205,-0.18565786,-0.1102726,-0.2275093,-0.2822674,-0.36506957,-0.2503863,-0.22436205,-0.037236333,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/22072_rj187.93.ech,,,,,,,,,,,,,,,,,,
985,985,HD 47562,4976.3745,3.171301,2.447336674,-0.41252762,-0.07014412,-0.20474398,-0.26799324,-0.24407664,-0.25416353,-0.3751216,-0.20010537,-0.1844253,-0.27983907,-0.26060855,-0.2816889,-0.19796605,-0.21315522,-0.017983198,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/47562_rj65.144.ech,,,,,,,,,,,,,,,,,,
507,507,HD 25680,5848.5615,4.4888496,3.103718519,0.034871556,-0.021232449,0.037770342,-0.005916534,0.022528201,-0.001575524,0.034792267,0.122611664,0.060123257,0.07717462,0.10071681,0.052626744,0.09225287,0.0224891,0.1758917,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/25680_rj187.408.ech,,,,,,,,,,,,,,,,,,
277,277,HD 14651,5468.964,4.4630504,1.912552238,-0.025225153,-0.118215,0.06425319,-0.09276668,-0.021525467,-0.010018647,-0.043524906,-0.030117318,-0.022324326,-0.031583205,-0.04851693,-0.08191336,-0.041673623,-0.051329046,-0.094395064,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/14651_rj15.1922.ech,,,,,,,,,,,,,,,,,,
618,618,HD 147750,5491.5894,4.5232873,0.914873481,-0.14959587,-0.2568729,-0.05480511,-0.17187165,-0.12039453,-0.14445621,-0.108041376,-0.1107708,-0.11576038,-0.12738621,-0.13457638,-0.2198988,-0.14308253,-0.16164704,-0.07789436,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/147750_rj21.1248.ech,,,,,,,,,,,,,,,,,,
1033,1033,HD 179949,6148.3926,4.3211694,6.112573522,0.13747872,0.25493884,0.21626793,0.19687691,0.15941489,0.13230975,0.19546801,0.23818089,0.21159045,0.20396303,0.23176904,0.2257864,0.22769707,0.20465371,0.18047965,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/179949_rj72.173.ech,,,,,,,,,,,,,,,,,,
1174,1174,HTR139-004,6079.374,4.336728,2.486333734,-0.08768012,-0.035715867,-0.020752221,-0.13402401,-0.118982166,-0.2203832,-0.1141795,-0.104974605,-0.0565558,-0.047363967,-0.15323812,-0.29786503,-0.13274589,-0.16391125,-0.2520808,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/HTR139-004_rj93.498.ech,,,,,,,,,,,,,,,,,,
796,796,HD 185144,5242.0986,4.555614,0.533190635,-0.217897,-0.27462667,-0.1350874,-0.26728803,-0.18137921,-0.23155352,-0.19492693,-0.19060233,-0.1883381,-0.19682965,-0.20617324,-0.2904114,-0.21257302,-0.24805218,-0.13784832,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/185144_rj55.1841.ech,,,,,,,,,,,,,,,,,,
382,382,HD 194110,5085.819,3.4059057,1.406532168,-0.29612514,-0.091421306,-0.16168039,-0.24829155,-0.15501937,-0.20709866,-0.2569012,-0.10508949,-0.1333161,-0.18415985,-0.14921275,-0.17681824,-0.1074765,-0.14863107,0.05537358,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/194110_rj159.704.ech,,,,,,,,,,,,,,,,,,
