SPOC HIRES
HD11964A HD11964A
HD190360 HD190360
HD33334 HD33334
HD34887 HD34887
HD36130 HD36130
HD51046 HD51046
HD64324 HD64324
HD70516 HD70516
HD41700 HD41700
HD69960 HD69960
HD73534 HD73534
HD33822 HD33822
HD38467 HD38467
HD37986 HD37986
HD75784 HD75784
HD69076 HD69076
HD72905 HD72905
HD109409 HD109409
HD109929 HD109929
HD103890 HD103890
HD94151 HD94151
HD75898 HD75898
HD17354 HD17354
HD20155 HD20155
HD18702 HD18702
HD26257 HD26257
HD25311 HD25311
HD24040 HD24040
HD26965 HD26965
HD38858 HD38858
HD34411 HD34411
HD50692 HD50692
HD66428 HD66428
HD86728 HD86728
HD62613 HD62613
HD61994 HD61994
HD75732 HD75732
HD65583 HD65583
HD84117 HD84117
HD92719 HD92719
HD104860 HD104860
HD110537 HD110537
HD100623 HD100623
HD111031 HD111031
HD115617 HD115617
HD117497 HD117497
HD116442 HD116442
HD149026 HD149026
HD72673 HD72673
HD126583 HD126583
HD106421 HD106421
HD124257B HD124257B
HD124257A HD124257A
HD128642 HD128642
HD197076 HD197076
HD157347 HD157347
HD157338 HD157338
HD163153 HD163153
HD159222 HD159222
HD164922 HD164922
HD182572 HD182572
HD187923 HD187923
HD196761 HD196761
HD221354 HD221354
HTR364-003 HTR364-003
HD164509 HD164509
HD168746 HD168746
HD167665 HD167665
HD182488 HD182488
HTR388-005 HTR388-005
HTR089-011 HTR089-011
HTR087-015 HTR087-015
HTR211-001 HTR211-001
HTR365-001 HTR365-001
KOI-87 CK00087
KOI-365 CK00365
BD+423339 CK00075
HD8765 HD8765
KOI-5 CK00005
HD105 HD105
HD45410 HD45410
HTR212-002 HTR212-002
HTR213-008 HTR213-008
HD38529 HD38529
HTR211-003 HTR211-003
KOI-244 CK00244
HD89793 HD89793
HD91876 HD91876
HD98736 HD98736
HD111814 HD111814
HD88656 HD88656
HD108351 HD108351
HD103459 HD103459
HD105279 HD105279
HTR433-003 HTR433-003
HIP32892 HIP32892
HIP35093 HIP35093
HD55647 HD55647
HD87001 HD87001
HD68017 HD68017
HD67767 HD67767
HD56122 HD56122
HD61995 HD61995
HD62068 HD62068
HD74669 HD74669
HD102365 HD102365
HD96700 HD96700
HTR317-002 HTR317-002
KOI-364 CK00364
HD176693 CK01612
HD89269 HD89269
HD109358 HD109358
HD127334 HD127334
HD139323 HD139323
HD152391 HD152391
HD170657 HD170657
KOI-85 CK00085
Kepler-95 CK00122
HD97658 HD97658
Kepler-407 CK01442
KOI-41 CK00041
KIC-2852862 KIC2852862
KIC-3427720 KIC3427720
KIC-3656476 KIC3656476
KIC-3852594 KIC3852594
KIC-5021689 KIC5021689
KIC-5431016 KIC5431016
KIC-5689820 KIC5689820
KIC-5723165 KIC5723165
KIC-5773345 KIC5773345
KIC-5955122 KIC5955122
KIC-6064910 KIC6064910
KIC-6313425 KIC6313425
KIC-6603624 KIC6603624
KIC-6766513 KIC6766513
KIC-7174707 KIC7174707
KIC-7747078 KIC7747078
KIC-7871531 KIC7871531
KIC-7976303 KIC7976303
KIC-8018599 KIC8018599
KIC-8150065 KIC8150065
KIC-8228742 KIC8228742
KIC-8702606 KIC8702606
KIC-9139151 KIC9139151
KIC-9206432 KIC9206432
KIC-9410862 KIC9410862
KIC-9812850 KIC9812850
KIC-9965715 KIC9965715
KIC-10355856 KIC10355856
KIC-10516096 KIC10516096
KIC-10644253 KIC10644253
KIC-10730618 KIC10730618
KIC-10972873 KIC10972873
KIC-11026764 KIC11026764
KIC-11395018 KIC11395018
KIC-11717120 KIC11717120
KIC-11771760 KIC11771760
KIC-12009504 KIC12009504
KIC-12069127 KIC12069127
KIC-12258514 KIC12258514
HD10476 HD10476
HD189733 HD189733
HD215032 HD215032
HD12051 HD12051
HD9407 HD9407
HD7924 HD7924
HD12846 HD12846
HD18803 HD18803
HD24496 HD24496
HD14412 HD14412
HD40397 HD40397
HD45184 HD45184
HD42618 HD42618
HD52265 HD52265
HD73226 HD73226
HD52711 HD52711
HD90156 HD90156
MARVELS-1b MARVELS-1
HD13747 HD13747
HD20618 HD20618
HD24505 HD24505
HD23439 HD23439
HD14855 HD14855
HD16559 HD16559
HD20675 HD20675
HD31664 HD31664
KOI-265 CK00265
HD201219 HD201219
HD219623 HD219623
HD213519 HD213519
HD136925 HD136925
HD140538A HD140538A
HD127741 HD127741
HD130048 HD130048
HD135872 HD135872
HD249 HD249
HD5608 HD5608
HD1770 HD1770
HD8594 HD8594
HD16175 HD16175
HD10145 HD10145
HD224032 HD224032
HD4628 HD4628
HD745 HD745
HD1449 HD1449
HD19034 HD19034
HD6512 HD6512
HD5873 HD5873
HD8250 HD8250
HD2816 HD2816
KOI-273 CK00273
HTR125-017 HTR125-017
HTR405-001 HTR405-001
HTR169-010 HTR169-010
HD29461 HD29461
HD48345 HD48345
HD45652 HD45652
HD217107 HD217107
HD220554 HD220554
HD223498 HD223498
HD211080 HD211080
HD223315 HD223315
HD216259 HD216259
HD216520 HD216520
HD49674 HD49674
HD60234 HD60234
HD80606 HD80606
HD84453 HD84453
HD87836 HD87836
HD92266 HD92266
HD94178 HD94178
HD95900 HD95900
HD103047 HD103047
HD105811 HD105811
HD106314 HD106314
NameWASP-8A WASP8
HD198802 HD198802
HD196676 HD196676
HD192699 HD192699
HD199255 HD199255
HD199381 HD199381
HD206993 HD206993
HD221356 HD221356
HD27530 HD27530
HD31423 HD31423
HD13871 HD13871
WASP-12 WASP12
CD-239677 WASP34
HD70843 HD70843
HD120064 HD120064
HD114174 HD114174
KIC-6779260 KIC6779260
HD71881 HD71881
TYC3413-5-1 XO-2
WASP-31 WASP31
KIC-8552719 KIC8552719
HD214823 HD214823
HD217850 HD217850
HD219428 HD219428
HIP14810 HIP14810
HD37394 HD37394
HD80355 HD80355
HD86081 HD86081
HD34957 HD34957
HD224983 HD224983
HD3141 HD3141
HD4075 HD4075
HD4741 HD4741
HD10790 HD10790
HD11373 HD11373
HD13836 HD13836
HD17382 HD17382
HD18916 HD18916
HD21742 HD21742
HD28495 HIP21276
HD14651 HD14651
HD224693 HD224693
HD101847 HD101847
HD102195 HD102195
HD2589 HD2589
HD4747 HD4747
HD221851 HD221851
HD221822 HD221822
HD11131 HD11131
HD18436B HD18436B
HD18436A HD18436A
HD43162 HD43162
HD115404A HD115404A
HD134353 HD134353
HD140913 HD140913
HD141272 HD141272
HD8553 HD8553
HD13483 HD13483
HD19019 HD19019
HD19668 HD19668
HD25457 HD25457
HD27466 HIP20218
HD28237 HD28237
HD133295 HD133295
HD143006 HD143006
HD152555 HD152555
HD145229 HD145229
HD149724 HD149724
HD153458 HD153458
HD139813 HD139813
HD150706 HD150706
HD161897 HD161897
HD138004 HD138004
HD134319 HD134319
HD76218 HD76218
HD92855 HD92855
HD107146 HD107146
HD185374 CK01924
BD+462726 CK01925
HD187897 HD187897
HD195034 HD195034
HD203030A HD203030
HD206374 HD206374
HD209393 HD209393
HD199019 HD199019
HD216275 HD216275
HD219498 HD219498
KOI-2720 CK02720
KOI-2687 CK02687
HD183216 HD183216
HD199260 HD199260
HD209253 HD209253
HD202917 HD202917
HD201989 HD201989
HD205905 HD205905
KIC-7940546 KIC7940546
HD101472 HD101472
HD98553 HD98553
HD104800 HD104800
HD101959 HD101959
HD102071 HD102071
HD8907 HD8907
HD6963 HD6963
HD8467 HD8467
HD691 HD691
HD9472 HD9472
HD11850 HD11850
HD377 HD377
HD6558 HD6558
HD7661 HIP5938
HIP6276 HIP6276
HD204277 HD204277
HD196201 HD196201
HD196885A HD196885
HIP51260 BD+262091
HIP94931 HIP94931
NameTrES-3b TRES3
NameTrES-4b TRES-4
Kepler-411 KEPLER-411
HD137368 HD137368
HD142091 HD142091
HD143174 HD143174
HD145675 HD145675
KOI-245 CK00245
KOI-2169 CK02169
HD8375 HD8375
HD12974 HD12974
HD210702 HD210702
HD210373 HD210373
HD216722 HD216722
HD218935 HD218935
HD222089 HD222089
HD223869 HD223869
HD224129 HIP117946
Kepler-406 CK00321
HD222697 HD222697
HD5133 HD5133
HD10069 WASP18
Kepler-62 CK00701
BD+312447 BD+312447
HIP6339 HIP6339
HD10995 HD10995
HD12661 HD12661
HD24365 HD24365
HD190571 HD190571
HD194110 HD194110
HD191359 HD191359
HD199580 HD199580
HD19467 HD19467
HD24892 HD24892
2MASSJ23341508-4203411 WASP4
TYC7283-1162-1 WASP15
HD26161 HD26161
HD30649 HD30649
HD37006 HD37006
HD108874 HD108874
HD122517 HD122517
HD126990 HD126990
HD68168 HD68168
HD69809 HD69809
HD103813 HD103813
HD87424 HD87424
HD97343 HD97343
KIC-8435766 KIC8435766
HD180684 HD180684
HD1388 HD1388
HD16702 HD16702
HD129191 HD129191
HD211681 HD211681
HD136202 HD136202
HD31018 HD31018
HD244992 HD244992
HD116956 HD116956
HD95088 HD95088
HD110897 HD110897
HD144287 HD144287
HD6872B HD6872B
HD13579 HD13579
HD10780 HD10780
HD9518 HD9518A
HD146389 WASP38
TYC339-329-1 WASP24
HTR114-006 HTR114-006
HD9218 HD9218
HD203473 HD203473
HD171238 HD171238
HD200565 HD200565
HD215549 HD215549
HD6582 HD6582
HD20367 HD20367
HD23596 HD23596
HD25975 HD25975
HD69897 HD69897
HD39587 HD39587
HD45506 HD45506
HD49933 HD49933
HD44420 HD44420
HD34538 HD34538
HD21019 HD21019
HD22682 HD22682
HD19994 HD19994
HD22049 HD22049
HD82443 HD82443
HD46588 HD46588
HD121320 HD121320
HD122386 HD122386
HD51419 HD51419
HD18143 HD18143
HD19308 HD19308
HD79498 HD79498
HD185351 HD185351
HD28185 HD28185
HD210027 HD210027
HD30652 HD30652
HD16895 HD16895
HD37601 HD37601
HD78558 HD78558
HD82074 HD82074
HD97334 HD97334
HD78366 HD78366
HD82328 HD82328
HD29528 HD29528
HD31966 HD31966
HD33021 HD33021
HD34745 HD34745
HD35627 HD35627
HD35974 HD35974
HD37213 HD37213
HD37962 HD37962
HD43745 HD43745
HD45067 HD45067
HD36308 HD36308
HD44985 HD44985
HD52456 HD52456
HD32850 HD32850
HD258452 HIP31014
HD255639 HIP30220
HD42807 HD42807
HD35112 HD35112
HD25893 HD25893
HD80367 HD80367
HD71479 HD71479
HD63754 HD63754
HD56274 HD56274
HD45588 HD45588
HD48938 HD48938
HD50806 HD50806
HD51219 HD51219
HD56303 HD56303
HD67458 HD67458
HD68978A HD68978
HD71334 HD71334
HD76909 HD76909
HD58781 HD58781
HD126868 HD126868
HD135599 HD135599
HD131156 HD131156
HD130948 HD130948
HD132254 HD132254
HD9446 HD9446
HD30339 HD30339
HD30708 HD30708
HD34575 HD34575
HD42250 HD42250
HD66171 HD66171
HD233641 HD233641
HD263175 HD263175
HD59747 HD59747
HD53927 HD53927
HD82885 HD82885
HD25680 HD25680
HD72760 HD72760
HD165341A HD165341A
